"","Team","GamesTotal","GamesTotalLost","GamesTotalTied","GamesTotalWon","PointsTotal","PointsTotalNorm","PointsAvgPerGame","PointsAvgWhenWon","PointsAvgWhenAway","PointsAvgWhenWonAway","YardsTotalPassing","YardsTotalRushing","YardsTotal","YardsTotalPassingNorm","YardsTotalRushingNorm","YardsTotalNorm","YardsAvg","YardsAvgWhenWon","YardsAvgWhenAway","YardsAvgWhenWonAway","YardsTotalNet","YardsTotalNetNorm","YardsAvgNet","YardsAvgNetWhenWon","YardsAvgNetWhenAway","YardsAvgNetWhenWonAway","TurnoversTotal","TurnoversTotalNorm","TurnoversAvg","Valuation2018","ValuationChange5Yr"
"1","Arizona Cardinals",16,13,0,3,225,225,14.0625,22,15.875,24,2523,1342,3865,2523,1342,3865,241.5625,285.333333333333,225,267.5,-1876,-1876,-117.25,-61,-160.625,-118.5,28,28,1.75,10,2.15
"2","Atlanta Falcons",16,9,0,7,414,414,25.875,32,22.25,32,4653,1573,6226,4653,1573,6226,389.125,446.285714285714,390.25,469,74,74,4.625,36.2857142857143,29.375,57.3333333333333,18,18,1.125,20,2.311111111
"3","Baltimore Ravens",17,7,0,10,406,382.117647058824,23.8823529411765,27.3,21.5,23.75,3697,2531,6228,3479.52941176471,2382.11764705882,5861.64705882353,366.352941176471,390.2,377.5,384.75,1298,1221.64705882353,76.3529411764706,156.6,85.5,205,23,21.6470588235294,1.35294117647059,19,1.726666667
"4","Buffalo Bills",16,10,0,6,269,269,16.8125,26.8333333333333,14.75,34,2794,1984,4778,2794,1984,4778,298.625,331,284.625,371.5,72,72,4.5,67.1666666666667,-20.375,126,32,32,2,1,1.711229947
"5","Carolina Panthers",16,9,0,7,376,376,23.5,30.2857142857143,21.5,27,3836,2136,5972,3836,2136,5972,373.25,365.428571428571,375,372.5,321,321,20.0625,33.7142857142857,25.625,54.5,22,22,1.375,12,1.84
"6","Chicago Bears",17,5,0,12,436,410.352941176471,25.6470588235294,26,24.5,23.6,3855,2003,5858,3628.23529411765,1885.17647058824,5513.41176470588,344.588235294118,326,320.5,285.4,763,718.117647058824,44.8823529411765,62.25,6.75,33.2,24,22.5882352941176,1.41176470588235,26,1.705882353
"7","Cincinnati Bengals",16,10,0,6,368,368,23,33.1666666666667,21.875,35.5,3290,1682,4972,3290,1682,4972,310.75,356.333333333333,290.875,368.5,-1646,-1646,-102.875,-55.3333333333333,-125.375,-69,17,17,1.0625,3,1.818181818
"8","Cleveland Browns",16,8,1,7,359,359,22.4375,23.5714285714286,23.75,26,4007,1893,5900,4007,1893,5900,368.75,379.714285714286,357.625,325.5,-388,-388,-24.25,50.5714285714286,-43.125,4.5,24,24,1.5,4,1.741071429
"9","Dallas Cowboys",18,7,0,11,385,385,21.3888888888889,26.8181818181818,17.8888888888889,28.3333333333333,4012,2177,6189,4012,2177,6189,343.833333333333,376.545454545455,322.444444444444,384,163,163,9.05555555555556,58.1818181818182,-55.3333333333333,-21.3333333333333,18,18,1,32,1.5625
"10","Denver Broncos",16,10,0,6,329,329,20.5625,27.1666666666667,21.625,30.6666666666667,3695,1907,5602,3695,1907,5602,350.125,359.666666666667,338.625,331.666666666667,-240,-240,-15,-10.5,-20.25,-6.66666666666667,21,21,1.3125,22,1.827586207
"11","Detroit Lions",16,10,0,6,324,324,20.25,26.1666666666667,21.875,26.6666666666667,3576,1660,5236,3576,1660,5236,327.25,344,339.125,359,-124,-124,-7.75,28.5,22.5,100.333333333333,19,19,1.1875,2,1.770833333
"12","Green Bay Packers",16,9,1,6,376,376,23.5,31.3333333333333,23.25,44,4238,1667,5905,4238,1667,5905,369.0625,421.833333333333,382.875,540,235,235,14.6875,113.833333333333,8.5,170,15,15,0.9375,21,1.909090909
"13","Houston Texans",17,6,0,11,409,384.941176470588,24.0588235294118,26.5454545454545,24.375,25.6,3998,2126,6124,3762.82352941176,2000.94117647059,5763.76470588235,360.235294117647,357,345.875,326.8,212,199.529411764706,12.4705882352941,40.2727272727273,-13.125,-9.4,17,16,1,24,1.513513514
"14","Indianapolis Colts",18,7,0,11,467,467,25.9444444444444,29.3636363636364,22.8,28.2,4862,2005,6867,4862,2005,6867,381.5,400.181818181818,364.3,407.2,677,677,37.6111111111111,76.6363636363636,23.2,92,26,26,1.44444444444444,13,1.7
"15","Jacksonville Jaguars",16,11,0,5,245,245,15.3125,21,14.625,18.5,3109,1723,4832,3109,1723,4832,302,348.6,297.125,274.5,-151,-151,-9.4375,98.2,-49.125,21,29,29,1.8125,8,2.155440415
"16","Kansas City Chiefs",18,5,0,13,627,627,34.8333333333333,34.3076923076923,38.25,36.8,5556,2211,7767,5556,2211,7767,431.5,426,454.5,445,723,723,40.1666666666667,46.9230769230769,-1.75,-1.2,21,21,1.16666666666667,9,1.909090909
"17","Los Angeles Chargers",18,5,0,13,479,479,26.6111111111111,28.3076923076923,27.3,27.75,4559,1981,6540,4559,1981,6540,363.333333333333,356.230769230769,349.6,350.625,474,474,26.3333333333333,48.6153846153846,-3.5,36.625,22,22,1.22222222222222,11,2.286432161
"18","Los Angeles Rams",18,4,0,14,580,580,32.2222222222222,35.2142857142857,28.1111111111111,31.5,4935,2552,7487,4935,2552,7487,415.944444444444,435.214285714286,378.666666666667,403.5,1064,1064,59.1111111111111,86.4285714285714,35.8888888888889,82.5,20,20,1.11111111111111,29,3.440860215
"19","Miami Dolphins",16,9,0,7,319,319,19.9375,24.8571428571429,17.125,20,2900,1738,4638,2900,1738,4638,289.875,324,265.25,257,-1619,-1619,-101.1875,-64.1428571428571,-134.875,-105,23,23,1.4375,16,1.980769231
"20","Minnesota Vikings",16,7,1,8,360,360,22.5,28.375,23,29,4036,1493,5529,4036,1493,5529,345.5625,362.75,347.375,343.666666666667,574,574,35.875,100.125,-3.875,60.3333333333333,20,20,1.25,14,2.086956522
"21","New England Patriots",18,5,0,13,514,514,28.5555555555556,33.1538461538462,23.3333333333333,31.75,4850,2233,7083,4850,2233,7083,393.5,423,348.888888888889,389,478,478,26.5555555555556,73.9230769230769,-63.8888888888889,-23,18,18,1,31,1.461538462
"22","New Orleans Saints",18,3,0,15,550,550,30.5555555555556,32.4,28.875,31.5714285714286,4626,2239,6865,4626,2239,6865,381.388888888889,394.666666666667,357.625,383.571428571429,740,740,41.1111111111111,67.0666666666667,32.875,56.4285714285714,18,18,1,7,1.869369369
"23","New York Giants",16,11,0,5,369,369,23.0625,32.4,25.875,31.3333333333333,4047,1650,5697,4047,1650,5697,356.0625,351,371.5,352.666666666667,-245,-245,-15.3125,-44,8.625,-10.3333333333333,19,19,1.1875,30,1.571428571
"24","New York Jets",16,12,0,4,333,333,20.8125,37.75,18.125,37.5,3165,1622,4787,3165,1622,4787,299.1875,370.75,256.375,298.5,-1299,-1299,-81.1875,-22,-102.875,-55,30,30,1.875,25,1.583333333
"25","Oakland Raiders",16,12,0,4,290,290,18.125,29.75,13.875,23,3751,1628,5379,3751,1628,5379,336.1875,379.25,312.625,325,-723,-723,-45.1875,27,-59.375,43,24,24,1.5,15,2.494845361
"26","Philadelphia Eagles",18,8,0,10,397,397,22.0555555555556,25.1,21.6,25.6,4734,1661,6395,4734,1661,6395,355.277777777778,372.2,336.1,363,-240,-240,-13.3333333333333,61.8,-60.2,45.4,27,27,1.5,23,1.571428571
"27","Pittsburgh Steelers",16,6,1,9,428,428,26.75,28.8888888888889,23.5,25.25,5008,1445,6453,5008,1445,6453,403.3125,398.888888888889,422.5,403,1218,1218,76.125,109.444444444444,97.875,93.5,26,26,1.625,18,1.914814815
"28","San Francisco 49ers",16,12,0,4,342,342,21.375,27.5,21.5,0,3867,1902,5769,3867,1902,5769,360.5625,372.75,368.75,0,223,223,13.9375,40.75,-13.375,0,32,32,2,27,1.90625
"29","Seattle Seahawks",17,7,0,10,450,423.529411764706,26.4705882352941,28.5,24.6666666666667,26.25,3319,2633,5952,3123.76470588235,2478.11764705882,5601.88235294118,350.117647058824,354.3,354.444444444444,377.5,-81,-76.2352941176471,-4.76470588235294,28.1,0.777777777777778,63.75,11,10.3529411764706,0.647058823529412,17,1.939849624
"30","Tampa Bay Buccaneers",16,11,0,5,396,396,24.75,30.4,27,48,5125,1523,6648,5125,1523,6648,415.5,429.6,420.125,529,514,514,32.125,34,27,54,35,35,2.1875,5,1.632653061
"31","Tennessee Titans",16,7,0,9,310,310,19.375,23.8888888888889,16.5,18,2975,2027,5002,2975,2027,5002,312.625,339.888888888889,306.625,291.333333333333,-332,-332,-20.75,32.2222222222222,-13,28.3333333333333,18,18,1.125,6,1.767241379
"32","Washington Redskins",16,9,0,7,281,281,17.5625,21.4285714285714,18.375,19,3021,1774,4795,3021,1774,4795,299.6875,328.428571428571,307.625,330,-859,-859,-53.6875,11,-40.75,27.75,19,19,1.1875,28,1.291666667
